pair,covisibility,fundamental_matrix
53822146_6393351439-26362358_4619718880,0.235,3.10825037e-02 6.31694076e-01 -5.29548803e+02 -4.81467163e-01 -7.63733708e-02 4.15728579e+02 1.02168974e+03 -5.09152880e+02 -3.43822851e+05
53822146_6393351439-25930528_6781762,0.202,4.56815824e-03 2.18164893e-01 -1.64394933e+02 -1.42485963e-01 1.05722885e-02 6.10317235e+01 3.08430128e+02 -9.68943024e+01 -7.70921722e+04
53822146_6393351439-21526113_4379776807,0.254,-1.69459242e-01 2.64268574e-01 -1.91357491e+02 -1.25734027e-01 -1.27981837e-01 1.05156944e+02 4.82502207e+02 2.26955718e+02 -2.02072466e+05
53822146_6393351439-11122557_224876196,0.251,-4.81854111e-02 -7.24253366e-01 3.21139684e+02 6.75086168e-01 -7.06807068e-03 -5.45691423e+02 -5.28069011e+02 6.66816059e+02 1.69375992e+05
53822146_6393351439-27210738_2045590131,0.241,-2.80220808e-03 1.17944176e-01 -8.26794777e+01 -1.23975803e-01 -6.83741241e-02 2.63582018e+02 2.09519809e+02 -3.73402504e+02 -8.27490607e+04
53822146_6393351439-34169301_5802403584,0.207,1.40872477e-02 7.27091464e-01 -5.13677383e+02 -5.05018836e-01 5.43254015e-02 2.06913366e+02 9.31283147e+02 -3.00801597e+02 -2.41707649e+05
53822146_6393351439-35298921_404896411,0.241,3.33510660e-04 1.66330034e-01 -1.02251701e+02 -1.45965498e-01 5.09150266e-02 -7.70576487e+01 1.99039746e+02 1.97561494e+02 -5.92236472e+04
53822146_6393351439-36009638_559975512,0.287,-1.19982561e-01 -2.55373196e+00 1.78024230e+03 2.10138819e+00 -4.51628708e-01 -1.88681126e+03 -2.77784417e+03 3.10370494e+03 8.68900383e+05
12201840_2095020348-11122557_224876196,0.267,-4.27215061e-02 -8.62892712e-01 5.26132198e+02 7.65240143e-01 6.70148310e-04 -4.06285438e+02 -7.93531596e+02 6.25930805e+02 5.56887142e+04
54067497_536054505-25930528_6781762,0.296,-1.28330353e-01 2.87821067e+00 -1.58069029e+03 -4.40507864e+00 -4.22327509e+00 1.26338596e+04 5.63076345e+03 -7.18667168e+03 -7.97752715e+06
54067497_536054505-27319807_9304439116,0.26,-5.08050797e-01 -5.68904301e+00 7.82151021e+03 5.21135171e+00 6.28498139e-02 4.84913990e+03 -5.94239549e+03 -1.83020335e+03 -2.96277775e+06
54067497_536054505-53822146_6393351439,0.256,-6.32567770e-01 4.71884985e+00 -1.01679814e+03 -1.03024010e+01 -3.22353886e+00 2.84220757e+04 5.34627900e+03 -9.97625099e+03 -8.20555687e+06
54067497_536054505-12201840_2095020348,0.225,-4.12362907e-01 6.39601380e+00 -3.41511243e+03 -1.29084821e+01 -1.69995055e+00 2.99773353e+04 8.11962014e+03 -9.88990797e+03 -1.14268108e+07
54067497_536054505-35256775_2917928780,0.26,-4.30456726e-01 -6.19313974e+00 7.54416073e+03 6.62442583e+00 -8.09042247e-01 -2.31836209e+03 -6.22561973e+03 1.66016941e+03 1.11359149e+06
54067497_536054505-40103707_6393354149,0.22,-8.32963935e-01 5.18925441e+00 -1.17075494e+03 -1.16207137e+01 -5.21050620e-01 2.80372863e+04 7.32699392e+03 -1.02746514e+04 -1.12256787e+07
54067497_536054505-49331387_5131734970,0.288,-4.86256422e-01 -5.26319691e+00 7.15187690e+03 4.37741710e+00 -6.40138733e-01 2.78499119e+03 -6.57623110e+03 -5.35154430e+02 -2.09024370e+06
82762931_5145144842-63704193_116921313,0.272,-6.86167545e-02 -1.61860982e+00 1.59778323e+03 1.56427367e+00 -6.69550892e-01 -1.97422943e+03 -1.06229495e+03 1.60259141e+03 2.88079417e+05
82762931_5145144842-54163059_5716537618,0.237,-3.25947379e-02 -2.34601048e+00 2.66485418e+03 2.53695786e+00 3.20697884e-01 -8.76222220e+02 -5.08723103e+03 -4.53130808e+02 1.54181301e+06
82762931_5145144842-78155518_7461591828,0.281,-6.51979327e-02 -4.11538336e-01 5.88554025e+02 1.09730216e+00 -1.00845418e-01 -1.25377948e+03 -1.00853140e+03 1.05121530e+03 -2.77798054e+04
83726689_3474844409-83124661_8192363459,0.268,7.19129198e-02 -4.60023066e+00 6.82885225e+03 5.19000978e+00 -3.57654301e-01 -1.61429260e+03 -3.91233944e+03 2.22198006e+03 -1.69395729e+06
83726689_3474844409-63704193_116921313,0.226,1.61089656e-02 -2.08358889e+00 3.87771384e+03 2.81985764e+00 -4.54456304e-01 -1.47715352e+03 -2.25638948e+03 1.17487321e+03 -3.32940410e+05
83726689_3474844409-56854840_6393356391,0.295,9.52657324e-02 -1.22977835e+00 2.68270103e+03 2.03374205e+00 -5.42541751e-01 -1.10208723e+03 -1.53466213e+03 9.11427084e+02 -3.08135995e+05
83726689_3474844409-78155518_7461591828,0.234,-2.38366486e-01 -9.31471278e-01 2.20278891e+03 1.89108049e+00 2.63605155e-01 -1.39744934e+03 -1.85070123e+03 7.50003739e+02 -9.06622175e+05
83726689_3474844409-53822146_6393351439,0.239,-2.12162032e-02 -1.78068353e+00 4.23966348e+03 2.47771533e+00 -1.06655716e-01 -8.46280386e+02 -2.16310297e+03 1.00667943e+03 -1.43147471e+06
83726689_3474844409-12201840_2095020348,0.254,-4.05139295e-02 -1.14512649e+00 2.88996174e+03 1.81078449e+00 -1.06831435e-01 -7.45303178e+02 -1.66297440e+03 5.14649013e+02 -3.58510684e+05
83726689_3474844409-28333479_2097887375,0.224,-7.32990917e-02 -1.09930137e+00 1.61578606e+03 8.31210040e-01 -7.39876480e-02 -8.55385594e+02 -2.50187529e+03 1.94551451e+03 1.74850809e+05
83726689_3474844409-40103707_6393354149,0.28,-9.16557058e-04 -1.35491880e+00 3.49378721e+03 2.29952444e+00 -4.62985703e-02 -9.00486130e+02 -2.17452881e+03 5.17463430e+02 -3.69752559e+05
28333479_2097887375-27632173_1671275972,0.236,-4.30844402e-02 -4.01302635e-01 1.95873969e+03 -1.03101217e+00 1.93109236e+00 1.31163122e+04 1.25925807e+03 -7.47352015e+03 -1.05059787e+06
28333479_2097887375-26362358_4619718880,0.214,-4.86506333e-02 3.66361315e+00 -1.09884363e+04 -5.02081022e+00 -5.28763683e-02 1.03742051e+04 7.21863305e+03 -5.18657106e+03 1.01106194e+06
28333479_2097887375-25930528_6781762,0.239,-1.89262876e-01 2.90149986e+00 -5.79621976e+03 -3.32670688e+00 -2.43003779e-01 7.17065059e+03 3.89174081e+03 -4.10325662e+03 9.48645656e+05
28333479_2097887375-11122557_224876196,0.273,3.23554737e-03 -3.96011560e-01 9.61739441e+02 4.43771705e-01 3.03561038e-01 1.77777775e+03 -4.98544017e+02 -1.18657267e+03 1.73260640e+04
28333479_2097887375-10875736_10366156803,0.283,-2.42810172e-01 2.65977931e+00 -5.37624430e+03 -3.04692607e+00 -3.94451108e-02 3.02646682e+03 3.47694595e+03 -1.44471210e+03 -3.11032411e+05
28333479_2097887375-27210738_2045590131,0.262,-4.99227785e-01 2.58833786e+00 -3.77434662e+03 -3.66028994e+00 4.27022438e-01 1.05678011e+04 3.75308688e+03 -5.68184976e+03 -2.54220180e+04
34169301_5802403584-12201840_2095020348,0.22,3.60810002e-02 -1.69611655e+00 2.72329274e+03 2.42759520e+00 1.82531962e-01 -1.09474596e+03 -1.74348299e+03 4.07536011e+02 -8.23641186e+04
34169301_5802403584-28333479_2097887375,0.219,-2.81869154e-02 -1.13658197e+00 1.47368186e+03 1.01486007e+00 -7.87218232e-02 -9.47610502e+02 -2.62630971e+03 1.64626551e+03 6.18818128e+05
97169406_8015985714-77411356_5025499049,0.295,-2.93821291e-01 -6.38248169e+00 9.24653613e+03 4.40479868e+00 -4.32915226e+00 -5.44685205e+03 -4.67859621e+03 1.17894921e+04 -3.79017879e+06
97169406_8015985714-68127387_81603260,0.291,-1.96315243e-02 1.45010758e+00 -1.41480378e+03 -1.60577237e+00 -3.25254779e-02 6.19479985e+02 1.26110154e+03 -6.88381409e+02 2.13569379e+05
97169406_8015985714-63704193_116921313,0.273,-2.93523229e-02 2.97532791e+00 -3.01475989e+03 -3.33744091e+00 -1.05001029e-01 8.80816623e+02 2.16525702e+03 -7.15383524e+02 2.24228512e+05
97169406_8015985714-21196047_2425535608,0.205,7.09388955e-02 -1.67613091e+00 2.18327484e+03 1.30896596e+00 -9.25435942e-01 -1.63645771e+03 -2.38035912e+03 5.77113597e+03 -2.73653602e+06
97169406_8015985714-54163059_5716537618,0.228,-4.61609165e-02 -1.51321197e+00 2.29988769e+03 1.33541487e+00 5.17065691e-01 4.35487957e+02 -3.19000443e+03 -2.52906252e+03 9.62825047e+05
97169406_8015985714-78155518_7461591828,0.228,-4.68569692e-01 1.14915535e+00 -7.88361531e+02 -1.70222187e+00 -4.35274633e-01 1.09374587e+03 1.26976030e+03 -1.12783317e+03 4.31145424e+05
97169406_8015985714-54627819_131932061,0.268,-2.60801065e-01 1.24224373e+00 -1.90986569e+03 -1.97005850e+00 -2.94168126e-01 -5.85845827e+02 2.35741768e+03 1.57054232e+03 -1.04166983e+06
97169406_8015985714-77890665_7213228852,0.212,-1.83793788e-02 1.62417250e+00 -1.66506102e+03 -1.83330042e+00 -7.55765282e-02 4.90281011e+02 1.15272856e+03 -5.01299161e+02 2.55758749e+05
97169406_8015985714-54067497_536054505,0.244,-2.06333637e-02 -9.16273415e-01 8.70445737e+02 7.10209232e-02 -8.78281181e-01 -1.99906746e+03 5.47446482e+01 5.02191588e+03 -2.95012673e+06
35256775_2917928780-10875736_10366156803,0.273,-7.51764261e-01 6.51546330e+00 -4.92621347e+03 -5.92052762e+00 -3.30751948e+00 6.49387875e+03 1.02636658e+04 -4.70933817e+03 -2.59826979e+06
97250286_522198503-83124661_8192363459,0.253,-8.49591126e-02 -1.71316401e+00 4.96339619e+03 1.93505273e+00 1.68760842e+00 5.08862188e+03 -2.06727053e+03 -3.08337314e+03 -1.38433426e+06
97250286_522198503-63704193_116921313,0.206,-2.25287397e-01 1.67483172e+00 3.28096766e+02 -1.89472537e+00 2.50213789e+00 5.92950785e+03 5.21727375e+02 -4.24495521e+03 -6.59561947e+05
97250286_522198503-56854840_6393356391,0.22,-6.16538925e-02 2.52156256e+00 -1.24782361e+03 -2.29329814e+00 3.25343434e+00 4.10786965e+03 4.52685258e+02 -4.42095266e+03 1.29772059e+06
97250286_522198503-92031733_3992238201,0.235,-2.07334667e-01 -1.41014616e+00 3.58608444e+03 2.01920942e+00 -2.24734990e-01 -6.25064844e+02 -5.80680874e+03 5.99720674e+02 1.91198518e+06
97250286_522198503-53822146_6393351439,0.224,-5.26893137e-01 1.32837239e+00 1.95510661e+03 -1.89355742e+00 1.88084174e+00 6.82884272e+03 1.37264785e+02 -4.36377524e+03 -7.83546834e+05
97250286_522198503-12201840_2095020348,0.243,-4.77781862e-01 2.05801486e+00 1.35021655e+02 -3.10645297e+00 2.41068031e+00 7.05664832e+03 1.30299923e+03 -4.66960689e+03 -8.99345977e+05
97250286_522198503-28333479_2097887375,0.256,-3.53578865e-02 -3.17207635e-01 8.55421424e+02 2.12427379e-01 -6.00927721e-02 7.97788435e+02 -1.35515936e+03 -1.39015683e+03 2.66796788e+05
97250286_522198503-40103707_6393354149,0.257,-6.01533005e-01 1.71904148e+00 1.32537664e+03 -2.30499101e+00 2.74024179e+00 6.14652396e+03 6.83061792e+02 -4.86289420e+03 -6.96979739e+05
35298921_404896411-12201840_2095020348,0.253,8.97201519e-03 1.32852732e-01 -7.29407354e+02 -3.27664710e-01 3.33664802e-01 1.13347810e+03 4.24637442e+02 -7.33045444e+02 9.72231769e+03
35298921_404896411-28333479_2097887375,0.238,-6.80923542e-02 -8.25817758e-01 7.59133150e+02 6.96254527e-01 -1.63148510e-02 -6.49564239e+02 -1.15514222e+03 1.15585411e+03 1.28707636e+05
97370029_2231232779-21196047_2425535608,0.264,-4.99218230e-02 -2.07181422e+00 2.35278804e+03 1.61281516e+00 -9.49760002e-01 -1.62349088e+03 -2.23459564e+03 5.35236768e+03 -2.17380881e+06
97370029_2231232779-54163059_5716537618,0.26,8.99264663e-03 -2.10016394e+00 2.54874799e+03 1.96551672e+00 4.73998405e-01 9.25684439e+01 -3.86491952e+03 -1.71772704e+03 7.70324945e+05
97370029_2231232779-78155518_7461591828,0.268,3.13493618e-03 -6.94002747e-02 7.86394346e+01 -5.80648383e-02 6.30740393e-02 1.52800748e+02 5.33235585e+01 -1.68279208e+02 4.97072974e+03
36009638_559975512-21196047_2425535608,0.293,1.52068661e-02 -3.34589111e-01 4.39694679e+02 1.69478121e-01 -2.60914555e-01 -1.45338329e+03 -3.77963599e+02 3.44460967e+03 -2.00347201e+06
39664712_6371434217-21196047_2425535608,0.264,-1.68905044e-01 -2.15683435e+00 2.56330139e+03 1.62752300e+00 -1.13823654e+00 -1.75988195e+03 -1.99668733e+03 5.89547927e+03 -2.54902750e+06
40100536_3431142134-21196047_2425535608,0.228,1.23722403e-01 -2.13483678e+00 2.46432583e+03 9.61013948e-01 -1.09062705e+00 -1.97442064e+03 -1.95159827e+03 7.39723973e+03 -3.05434158e+06
40103707_6393354149-27034168_3934048864,0.227,-5.16381018e-02 -4.89635258e-01 2.02404504e+02 4.50497671e-01 1.74147329e-01 -5.63328165e+02 -5.93912058e+01 9.11219384e+02 -1.99883306e+05
40103707_6393354149-26362358_4619718880,0.271,3.02709506e-02 5.73429403e-01 -5.16448346e+02 -3.73123605e-01 -1.06286033e-01 3.11847148e+02 8.17092224e+02 -4.69097104e+02 -7.25851077e+04
40103707_6393354149-25930528_6781762,0.242,2.99972030e-03 1.03738344e-01 -8.83275864e+01 -5.71886848e-02 1.25735661e-02 5.24421991e+00 1.36251198e+02 -4.52264204e+01 3.85002866e+02
40103707_6393354149-21526113_4379776807,0.298,-9.54262096e-02 2.20417885e-01 -2.19393234e+02 -7.01303429e-02 -2.21137772e-02 -2.94460384e+00 2.95463846e+02 1.64322265e+02 -4.87735427e+04
40103707_6393354149-11122557_224876196,0.29,-7.01638674e-02 -8.36098732e-01 4.89184415e+02 7.51929418e-01 2.24585280e-02 -4.57739834e+02 -6.58061840e+02 6.63161867e+02 3.50611790e+04
40103707_6393354149-12447860_7511693888,0.222,5.57499842e-02 -7.42956296e-01 3.99475377e+02 5.20323346e-01 -2.56662963e-01 3.64770674e+02 -5.41613081e+02 -5.45143186e+02 2.94827733e+04
40103707_6393354149-27210738_2045590131,0.282,1.01648634e-04 -9.71342446e-03 7.45080382e+00 -7.61554304e-03 -1.12404119e-01 2.22146532e+02 1.64711597e+01 -2.76722401e+02 2.38275802e+03
40103707_6393354149-34169301_5802403584,0.248,2.03997237e-02 6.47414169e-01 -5.05525219e+02 -4.09827460e-01 7.18083106e-02 7.31060517e+01 7.47765202e+02 -2.94838284e+02 -7.09115756e+03
40103707_6393354149-35298921_404896411,0.283,1.22717644e-03 3.66989306e-02 -1.49409193e+01 -4.13975127e-02 9.53903402e-02 -1.62596671e+02 3.32525491e+01 2.03822132e+02 -9.59914872e+03
40533611_1359502142-19816447_8133775295,0.275,1.61388562e-01 -2.49429572e+00 3.40379179e+03 2.31739384e+00 1.39167812e+00 2.68557758e+03 -1.50187873e+03 -1.88291100e+03 -5.22697136e+05
40533611_1359502142-28333479_2097887375,0.29,-9.53789732e-02 -1.01088276e+00 1.46095664e+03 8.56496682e-01 -8.06154216e-02 -8.81109431e+02 -2.05809951e+03 1.90350627e+03 -1.67550917e+05
40533611_1359502142-35256775_2917928780,0.3,-5.76232671e-01 -6.73277945e+00 1.26655799e+04 7.13871285e+00 -5.51213959e+00 -5.20989567e+03 -5.66532574e+03 9.07212528e+03 -3.87950581e+06
40533611_1359502142-40103707_6393354149,0.212,-3.58391727e-02 -8.57332948e-01 2.29959777e+03 1.51456260e+00 8.47040297e-02 -3.66456497e+02 -1.33332018e+03 1.80732817e+02 -3.61197465e+05
49331387_5131734970-21196047_2425535608,0.214,4.93134925e-03 -3.74301934e-01 4.32193732e+02 2.24675500e-01 -2.36801181e-01 -1.18686488e+03 -3.41001390e+02 3.20237456e+03 -1.72818760e+06
49331387_5131734970-28333479_2097887375,0.249,2.04140839e-02 2.25007882e+00 -3.18151954e+03 -1.37979113e+00 -7.02717030e-01 2.16269061e+03 6.45458602e+03 -3.24204178e+03 -9.35188853e+05
49809790_3475639998-28333479_2097887375,0.207,-4.22140212e-02 -3.05804150e-01 7.47894391e+02 1.17818869e-01 -1.73640985e-01 6.42710362e+02 -1.42895046e+03 -8.64474986e+02 1.00288042e+05
55681420_9334004985-21196047_2425535608,0.214,3.03689121e-02 -1.50802873e+00 2.04190761e+03 2.09121297e+00 -8.51057812e-01 -1.54943543e+03 -3.14724478e+03 3.63090920e+03 -9.11837038e+05
55681420_9334004985-54163059_5716537618,0.225,2.87862516e-02 -1.58140115e+00 2.37622494e+03 1.64292456e+00 1.25230085e+00 -3.03459059e+02 -3.26357684e+03 -3.08264682e+03 1.48662609e+06
55681420_9334004985-54627819_131932061,0.237,-2.88564421e-02 -4.02997497e-01 -2.56028304e+02 5.94524264e-02 -4.41927568e-01 -5.58468622e+02 6.47989119e+02 1.41441255e+03 -7.68058536e+05
55681420_9334004985-53822146_6393351439,0.273,-3.95653361e-02 -5.32701730e-01 9.91458745e+02 6.08084155e-01 5.56568051e-01 3.04015678e+02 -4.91009426e+02 -4.96078876e+02 -1.50432501e+05
55681420_9334004985-12201840_2095020348,0.286,-4.45388191e-04 -1.60293447e-01 2.27226073e+02 -3.02656006e-02 5.11416707e-01 5.26716348e+02 2.19255104e+01 -6.49199829e+02 -1.70735396e+04
55681420_9334004985-54067497_536054505,0.258,7.22979162e-02 -1.44131217e+00 1.42939215e+03 1.61348558e+00 -1.01137454e+00 -1.77715171e+03 -1.25339098e+03 3.59622179e+03 -1.65759697e+06
63287152_2719505336-53822146_6393351439,0.297,1.17350664e-02 1.36979481e-01 -1.26759103e+02 -1.68514116e-01 -1.96115275e-02 -3.05411833e+02 9.07518145e+01 1.27714434e+02 3.66001915e+04
63287152_2719505336-28333479_2097887375,0.243,-1.21437364e-01 -6.56129102e-01 5.25950267e+02 4.94592567e-01 1.09441706e-01 -9.73736763e+02 -4.50336757e+02 1.75886845e+03 3.93391606e+04
63291370_10616078755-28333479_2097887375,0.287,1.02542367e+00 6.16271598e+00 -2.81532672e+04 -5.24113185e+00 -1.68422345e+00 1.66885000e+04 2.09660887e+04 -1.17617808e+04 1.21704004e+07
98653115_457567968-92031733_3992238201,0.172,-1.92125695e-01 -1.99779689e+00 2.31552048e+03 1.83198775e+00 -3.24834504e-01 -1.03194170e+03 -4.29737373e+03 2.59144468e+03 4.33245231e+05
98653115_457567968-78155518_7461591828,0.198,-1.73440728e-01 -7.23955438e-01 1.02639517e+03 8.86800313e-01 3.28810420e-01 -3.58368742e+02 -8.28479476e+02 2.57564927e+02 -4.83932427e+05
98653115_457567968-28333479_2097887375,0.142,-3.86868418e-02 -8.39009528e-01 7.55077574e+02 6.25145983e-01 1.03669904e-01 -5.18979542e+02 -1.62891760e+03 1.09620158e+03 1.65867699e+05
98646661_5998900488-92376688_8105076200,0.176,-1.84578098e-01 2.77362477e+00 -2.64350168e+03 -1.13722322e+00 -1.21641257e+00 2.67006971e+03 3.05443008e+03 -2.03187816e+03 -1.68372744e+06
98646661_5998900488-21196047_2425535608,0.118,1.55441611e-03 -3.28661031e-01 1.93183521e+02 3.69258947e-02 2.59593153e-02 -6.39718384e+02 -6.48050111e+01 2.20585846e+03 -3.80128757e+05
98646661_5998900488-54163059_5716537618,0.14,-5.46673503e-02 -8.70270812e-01 7.33940524e+02 -2.77688906e-01 -7.51140238e-01 2.77273092e+03 2.58809031e+02 -5.63226167e+03 -9.35508971e+05
98646661_5998900488-10875736_10366156803,0.182,-2.81710031e-01 4.23695227e+00 -2.23995132e+03 -3.10556831e+00 -9.89992159e-01 3.45900853e+03 5.41359645e+03 -2.95805143e+03 -3.26525653e+06
98646661_5998900488-54627819_131932061,0.183,-5.74397395e-01 5.33567304e+00 -3.25030552e+03 -4.64703828e+00 -2.18451900e-01 3.63615845e+03 5.44851094e+03 -3.25454001e+03 -1.84124648e+06
98646661_5998900488-77890665_7213228852,0.108,-6.40374519e-02 4.64412126e+00 -2.73610165e+03 -4.52225219e+00 -3.35850699e-01 4.51485364e+03 3.85464487e+03 -5.33638472e+03 -4.61794654e+05
98646661_5998900488-54067497_536054505,0.18,-2.17878914e-01 1.85582426e+00 -1.25238786e+03 -1.98923420e+00 1.70052938e-01 5.21357672e+02 2.66942768e+03 6.48954498e+02 -1.32483505e+06
98646661_5998900488-40533611_1359502142,0.2,-1.71807437e-01 4.59251571e+00 -2.60803405e+03 -3.29396572e+00 -2.01050213e+00 4.40439079e+03 6.23858691e+03 -3.52785970e+03 -3.91009825e+06
96713979_9585072075-91751049_10616196756,0.179,3.25308982e-01 -2.55915855e+00 3.46433091e+03 4.49118087e+00 -1.27721517e+00 -4.67857880e+03 -4.46834020e+03 6.23684015e+03 -3.00225832e+06
96713979_9585072075-92031733_3992238201,0.155,-3.34566387e-02 -1.49089690e+00 2.35355868e+03 1.84489904e+00 -6.43842157e-01 -1.51726350e+03 -4.44102606e+03 3.19969142e+03 1.09832552e+06
96713979_9585072075-78155518_7461591828,0.182,-6.85308787e-02 -3.11956820e-01 6.88091900e+02 1.08332050e+00 2.12128200e-02 -1.08392767e+03 -1.06365904e+03 5.68662769e+02 -1.11486073e+05
96713979_9585072075-28333479_2097887375,0.132,8.45812723e-03 -7.47258496e-01 8.42850736e+02 6.48015287e-01 2.50065880e-03 -8.64555900e+02 -1.77685685e+03 1.68657166e+03 4.35064135e+05
92376688_8105076200-91751049_10616196756,0.131,-1.95795987e-01 -6.80772558e-01 1.71498328e+03 1.93754621e+00 -6.59005934e-01 -1.67169303e+03 -2.78235109e+03 2.97266460e+03 -1.79119606e+06
92376688_8105076200-83124661_8192363459,0.177,-8.60907864e-02 2.24019851e+00 -6.73217377e+02 -2.32593100e+00 3.82122530e-01 2.62333410e+03 7.76845001e+02 -2.90921815e+03 8.63815321e+04
92376688_8105076200-63704193_116921313,0.156,2.66681687e-02 5.73998961e+00 -3.45725237e+03 -6.38967129e+00 8.88104173e-01 3.01420982e+03 3.41264675e+03 -3.47664416e+03 1.90729833e+05
92376688_8105076200-56854840_6393356391,0.191,2.15709582e-01 5.86022178e+00 -3.73116564e+03 -6.27303936e+00 1.31678139e+00 2.35443621e+03 2.54615759e+03 -3.37951494e+03 8.02890913e+05
92376688_8105076200-19816447_8133775295,0.197,-4.26620179e-01 1.95864924e+00 -7.25072156e+02 -3.47608265e+00 6.01040028e-01 4.52744832e+03 2.27331116e+03 -5.10853697e+03 2.43138855e+05
92376688_8105076200-78155518_7461591828,0.141,-1.29997660e+00 1.48922607e+00 5.60043974e+01 -3.30188330e+00 -7.30632499e-02 2.15514285e+03 2.25386647e+03 -3.28759528e+03 2.71277460e+05
92376688_8105076200-54627819_131932061,0.122,-8.08921881e-02 2.51842124e+00 -2.22533151e+03 -3.14752563e+00 -1.09842417e-01 3.58666212e+02 2.45301277e+03 -3.62561973e+02 1.17680195e+05
92376688_8105076200-53822146_6393351439,0.165,-2.20297095e-01 5.09817614e+00 -2.47713472e+03 -5.73857652e+00 4.56174555e-01 3.39207614e+03 2.27370570e+03 -4.52130789e+03 8.83551217e+05
92376688_8105076200-12201840_2095020348,0.182,-1.99402778e-01 6.03098148e+00 -3.55437367e+03 -7.08676089e+00 7.15005677e-01 3.57037794e+03 3.83913388e+03 -3.98604630e+03 2.53957288e+05
91751049_10616196756-83124661_8192363459,0.17,-1.50269840e-01 1.16298268e+01 -1.10948237e+04 -7.21537273e+00 -2.98922972e+00 2.41715273e+04 6.31093118e+03 -1.23883059e+04 -6.25923555e+06
91751049_10616196756-82110920_5250511156,0.179,2.47727769e+00 2.40169845e+01 -2.52176231e+04 -1.52871876e+01 -1.02280567e+01 3.91207607e+04 1.03209377e+04 -1.30842029e+04 -9.53470680e+06
91751049_10616196756-77637372_464905579,0.106,3.48996197e-01 8.69907197e+00 -7.74146578e+03 -5.84415851e+00 -2.22938760e+00 1.38740168e+04 8.55024056e+03 -8.99930661e+03 -1.04032900e+07
91751049_10616196756-77522412_4780460527,0.122,-2.48826558e-01 8.34507231e+00 -7.16961948e+03 -7.35013809e+00 -4.80964717e+00 2.59777688e+04 8.82663044e+03 -1.18525375e+04 -1.45185459e+07
91751049_10616196756-70340840_5145139104,0.172,1.61211227e-01 1.07497738e+01 -8.91373512e+03 -9.26349097e+00 -1.55098383e+00 2.05338895e+04 8.92961918e+03 -1.13168099e+04 -9.57039268e+06
91751049_10616196756-69868392_3604404326,0.102,-1.49695608e-01 1.04543427e+01 -8.16577137e+03 -7.91004342e+00 -2.83403069e+00 1.87140861e+04 9.65888149e+03 -1.06063685e+04 -1.14460083e+07
91751049_10616196756-68127387_81603260,0.139,4.31655984e-01 8.50981064e+00 -7.91923959e+03 -7.58442422e+00 2.08844958e-01 1.51632782e+04 7.33011348e+03 -1.16620506e+04 -5.16541471e+06
91751049_10616196756-64693381_4135965169,0.182,-6.29808179e-04 -1.39294736e-01 1.93821380e+02 8.98371802e-01 -1.50525698e+00 8.63604445e+03 -1.64232140e+03 -5.66821787e+03 -3.79652218e+06
91751049_10616196756-64602886_907577570,0.156,3.22549149e-01 8.09165130e+00 -7.00731048e+03 -5.30015223e+00 -2.90795849e+00 1.36741474e+04 7.66835291e+03 -1.05220517e+04 -8.29195659e+06
91751049_10616196756-64212638_4064879957,0.106,3.05192232e-01 1.16458894e+01 -1.03501310e+04 -8.51948080e+00 -2.77959886e+00 1.92974915e+04 1.02180344e+04 -1.02412704e+04 -1.17889555e+07
91751049_10616196756-64099927_10616457153,0.183,-2.37407226e-02 1.05133518e-01 -1.51364405e+02 -6.31230090e-01 1.93134448e-01 -1.42021289e+03 6.61428636e+02 9.88214900e+02 2.96592821e+05
91751049_10616196756-27632173_1671275972,0.112,3.35539628e-01 5.18219221e+00 -5.93955530e+03 -4.59991491e+00 -3.19665719e+00 1.78602640e+04 6.52756351e+03 -1.14434297e+04 -1.03734116e+07
91751049_10616196756-25930528_6781762,0.155,5.32641849e-01 8.89851579e+00 -8.23130018e+03 -5.46038634e+00 -3.27952224e+00 1.35130990e+04 8.85274519e+03 -1.07463523e+04 -8.96357260e+06
91751049_10616196756-21196047_2425535608,0.158,-7.60210383e-03 -2.74126399e-01 2.56589794e+02 -4.73626760e-01 6.30120995e-02 -1.59980168e+03 8.43378259e+02 3.72010530e+03 -1.08288665e+06
91751049_10616196756-20743436_4630134694,0.111,1.78776610e-01 2.34078083e+00 -2.90651438e+03 -5.82734727e+00 -3.34690147e+00 2.22806090e+04 5.54727123e+03 -1.17312905e+04 -6.39327444e+06
91751049_10616196756-56854840_6393356391,0.113,6.59785893e-01 2.13781122e+01 -1.92151796e+04 -1.83563888e+01 4.94234194e+00 3.09137153e+04 1.09012621e+04 -1.55764611e+04 -7.74153947e+06
91751049_10616196756-56240925_168522816,0.166,-3.17223827e+00 4.45989336e+00 3.46938451e+03 -5.05372398e+00 -6.60552428e+00 1.56769502e+04 8.83314740e+03 -6.41219186e+03 -1.41070724e+07
91751049_10616196756-42578175_457568876,0.145,7.27896785e-01 1.16876948e+01 -1.12831121e+04 -9.01274100e+00 -2.08575216e+00 1.99584127e+04 9.99079107e+03 -1.10447871e+04 -1.09102363e+07
91751049_10616196756-06788497_3085353292,0.2,4.82856004e-02 1.01861651e+01 -1.07111268e+04 -6.94344219e+00 6.83275686e-01 9.49073097e+03 9.63791789e+03 -6.54171202e+03 -7.33113156e+06
91751049_10616196756-11122557_224876196,0.159,1.65214060e-01 5.93672710e+00 -6.58943852e+03 -3.66609710e+00 -9.99531878e-01 9.72257109e+03 6.47039327e+03 -7.82423683e+03 -7.14879995e+06
